model,Ca,P,pH,SOC,Sand,MCRMSE,best_params_Ca,best_params_P,best_params_pH,best_params_SOC,best_params_Sand
lin_reg,0.5049645752975458,1.6576700943521183,0.7543211407602292,0.7051158437573091,0.7294245874734764,0.8702992483281358,,,,,
tree,0.5648514501553454,1.0588995128583363,0.6745977967977185,0.5302018230051582,0.5241819155477588,0.6705464996728635,,,,,
knn,0.3707050255092884,0.7548587025994591,0.5371621638791397,0.4639591210947606,0.4528866776324533,0.5159143381430202,,,,,
lin_reg_clipped,0.5049645752975458,1.6576700943521183,0.7543211407602292,0.7051158437573091,0.7294245874734764,0.8702992483281358,,,,,
tree_clipped,0.5648514501553454,1.0588995128583363,0.6745977967977185,0.5302018230051582,0.5241819155477588,0.6705464996728635,,,,,
knn_clipped,0.3707050255092884,0.7548587025994591,0.5371621638791397,0.4639591210947606,0.4528866776324533,0.5159143381430202,,,,,
lin_reg_bez_korelacija,0.8329978812820192,0.6988197190977719,0.6801143967048152,0.8315303328421029,0.7703700255047135,0.7627664710862845,,,,,
tree_bez_korelacija,0.5108288448240199,0.7250483854005842,0.6163802595768648,0.722614972588117,0.5259174484953628,0.6201579821769898,,,,,
knn_bez_korelacija,0.6794565588462201,0.7635625755021704,0.56808776830409,0.6291466105575492,0.543697402020544,0.6367901830461147,,,,,
random_forest_bez_korelacija,0.5149672958980169,0.8782647814467908,0.5159093633269615,0.5542017635656673,0.4236186583170822,0.5773923725109038,,,,,
lin_reg_bez_korelacija_polynomial,0.6420833025861913,0.6988197190977719,0.6189733116872884,0.766177253697109,0.6706059297434439,0.6793319033623609,,,,,
tree_bez_korelacija_polynomial,0.5108288448240199,0.7250483854005842,0.6163802595768648,0.722614972588117,0.5259174484953628,0.6201579821769898,,,,,
knn_bez_korelacija_polynomial,0.6794565588462201,0.7635625755021704,0.56808776830409,0.6291466105575492,0.543697402020544,0.6367901830461147,,,,,
random_forest_bez_korelacija_polynomial,0.5636776119629149,0.8252639161500122,0.49586311713250886,0.5638989699045642,0.4225513974204331,0.5742510025140867,,,,,
lin_reg_bez_korelacija_selection,0.8283647579786129,0.6920284204098044,0.6822460263000224,0.8581477133798922,0.8011313451718595,0.7723836526480382,,,,,
knn_bez_korelacija_selection,0.5816067254419746,0.6865540026830881,0.5371188972767886,0.6045728658702846,0.41334396574408644,0.5646392914032444,,,,,
,,,,,,,"{'model_lin_reg__fit_intercept': True, 'scaler': None}","{'model_lin_reg__fit_intercept': False, 'scaler': None}","{'model_lin_reg__fit_intercept': False, 'scaler': StandardScaler()}","{'model_lin_reg__fit_intercept': False, 'scaler': None}","{'model_lin_reg__fit_intercept': False, 'scaler': None}"
